"Company Name",ISIN,"Target Qualification",SME?,"Business ambitions 1.5",Country,Region,Sector,Status,Date,"Date Explanation",Target,"Target Classification"
"A1 Telekom Austria Group",AT0000720008,1.5°C,,,Austria,Europe,Telecommunications,"Targets Set","2020-08-31 23:00:00",,"A1 Telekom Austria Group commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year*. A1 Telekom Austria Group commits to reduce scope 3 GHG emissions covering purchased goods and services, capital goods and fuel- and energy-related activities as well as business travel 50% by 2030 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"A2A S.p.A.",IT0001233417,2°C,,,Italy,Europe,"Electric Utilities and Energy Related","Targets Set","2020-03-01 00:00:00",,"Italian multi-utility company A2A S.p.A commits to reduce scope 1 GHG emissions 46% per kWh by 2030 from a 2017 base year. A2A commits to reduce absolute scope 2 GHG emissions 100% by 2024 from a 2017 base year. A2A also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 20% by 2030 from a 2017 base year*. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Aardvark Certification Ltd",,"Well-below 2°C",1,,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2020-06-30 23:00:00",,"Aardvark Certification Ltd. commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"AB InBev",BE0974293251,1.5°C,,,Belgium,Europe,"Food and Beverage Processing","Targets Set","2018-03-01 00:00:00",,"Global Brewer AB InBev commits to reduce absolute scopes 1 and 2 GHG emissions 35% by 2025 from a 2017 base year. AB InBev commits to increase annual sourcing of renewable electricity from 7% in 2016 to 100% by 2025. AB InBev also commits to reduce emissions across the value chain (Scopes 1, 2 and 3) by 25% per beverage by 2025, from a 2017 base year. These commitments reinforce AB InBev's commitment towards mitigating the impacts of climate change.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
ABB,CH0012221716,,,,Switzerland,Europe,"Electrical Equipment and Machinery",Committed,"2018-07-31 23:00:00",,,
"Abdi Ibrahim Pharmaceuticals",,,,,Turkey,Asia,"Pharmaceuticals and Biotech",Committed,"2020-03-01 00:00:00",,,
"ABN Amro Bank N.V.",NL0011540547,,,,Netherlands,Europe,"Banks, Diverse Financials and Insurance",Committed,"2018-09-30 23:00:00",,,
"ABP Food Group",,2°C,,,Ireland,Europe,"Food and Beverage Processing","Targets Set","2019-12-01 00:00:00",,"Privately owned food processors ABP Food Group commits to reduce absolute scope 1 and 2 GHG emissions 27% by 2030 from a 2016 base year. ABP Food Group also commits to reduce absolute scope 3 GHG emissions from purchased goods and services (raw materials and packaging) 17% by 2030 from a 2016 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"ACC Limited",,,,,India,Asia,"Construction Materials",Committed,"2020-06-30 23:00:00",,,
"Accenture PLC",IE00B4BNMY34,1.5°C,,1,Ireland,Europe,"Professional Services","Targets Set","2018-12-01 00:00:00",,"Global management consulting and professional services firm Accenture commits to reduce absolute scope 1, 2 and 3 GHG emissions 11% by 2025 from a 2016 base-year. This target includes a 65% reduction in scope 1 and 2 emissions, and represents a 40% per unit of revenue intensity reduction for scope 1, 2 and 3 GHG emissions over the same time period.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"ACCIONA S.A.",ES0125220311,1.5°C,,1,Spain,Europe,"Construction and Engineering","Targets Set","2019-12-01 00:00:00",,"Renewable energy and sustainable infrastructure company ACCIONA commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2017 base year. ACCIONA also commits to reduce absolute scope 3 GHG emissions 47% by 2030 from a 2017 base year, covering emissions from purchased goods and services, capital goods, energy-related activities, upstream transportation and distribution, employee commuting and use of sold products.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Accor S.A.",,,,1,France,Europe,Hospitality,Committed,"2019-12-01 00:00:00",,,
"Aceros AZA S.A.",,,,1,Chile,"Latin America","Mining - Metals (Iron, Aluminium, Other Metals)",Committed,"2020-07-31 23:00:00",,,
"Actiam NV",,,,,Netherlands,Europe,"Banks, Diverse Financials and Insurance",Committed,"2017-03-31 23:00:00",,,
"Adani Green Energy Ltd.",INE364U01010,,,,India,Asia,"Electric Utilities and Energy Related",Committed,"2020-04-30 23:00:00",,,
"Adani Ports and Special Economic Zone Limited",,,,1,India,Asia,"Water Transportation",Committed,"2020-05-31 23:00:00",,,
"Adidas AG",DE000A1EWWW0,,,,Germany,Europe,"Textiles, Apparel, Luxury Goods",Committed,"2020-02-01 00:00:00",,,
"Adobe Systems Inc.",US00724F1012,"Well-below 2°C",,1,"United States of America (USA)","North America","Software and Services","Targets Set","2017-08-31 23:00:00",,"
Multinational computer software company Adobe commits to reduce absolute scope 1 and 2 emissions 25% by 2025 from a 2015 base-year.  Adobe also commits to reduce scope 3 business travel emissions per employee 5% by 2025 from 2015 levels and reduce scope 3 Fuel and Energy Related Emissions per square foot by 15% over the same time period for its owned and managed facilities.

","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Adva Optical Networking SE",DE0005103006,2°C,,,Germany,Europe,"Technology Hardware and Equipment","Targets Set","2019-03-31 23:00:00",,"
European telecommunications vendor  ADVA Optical Networking SE commits to reduce absolute scope 1 and 2 GHG emissions 20% by 2032 from a 2016 base year.  ADVA also commits to reduce scope 3 GHG emissions 30% per product and 3% in absolute emissions terms by 2032 from a 2016 base year
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Advanced Micro Devices, Inc",US0079031078,"Well-below 2°C",,,"United States of America (USA)","North America","Semiconductors and Semiconductors Equipment","Targets Set","2016-05-31 23:00:00",,"
Multinational semiconductor company AMD commits to reduce  scope 1 and 2 emissions 20% by 2020 from a 2014 base-year.  AMD also commits to improve the compute performance per watt of energy consumed by their mobile APU processors by 2500% by 2020 from a 2014 base-year. AMD also has a goal for suppliers' wafer foundry scope 1 emissions to stay 30% below the Semiconductor Industry Association average, and for wafer foundry electricity use to stay 40% below the industry average, using a normalized manufacturing index
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Advantest Corporation",,,,,Japan,Asia,"Electrical Equipment and Machinery",Committed,"2020-07-31 23:00:00",,,
AECOM,US00766T1007,"Well-below 2°C",,,"United States of America (USA)","North America","Construction and Engineering","Targets Set","2020-03-01 00:00:00",,"
AECOM commits to reduce absolute scope 1 and 2 GHG emissions 20% by 2025 from a 2018 base year. AECOM commits to reduce absolute scope 3 GHG emissions from purchased goods & services and capital goods 10% by 2025 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Aeon Co., Ltd.",JP3388200002,2°C,,,Japan,Asia,"Food and Staples Retailing","Targets Set","2019-01-01 00:00:00",,"
Japanese retail network AEON commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2030 from a 2010 base-year. AEON also commits that 80% of its suppliers by emissions covering purchased goods and services will set science-based targets by 2021.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"AES Brasil",,,,1,Brazil,"Latin America","Electric Utilities and Energy Related",Committed,"2020-04-30 23:00:00",,,
"Agder Energi",,,,,Norway,Europe,"Electric Utilities and Energy Related",Committed,"2018-07-31 23:00:00",,,
Agility,,,,,Kuwait,Asia,"Air Freight Transportation and Logistics",Committed,"2019-04-30 23:00:00",,,
